CHARTER,REG,ASSET,DEP,TYPE
SB,WESTERN,32576,32745,FAILURE
NM,NORTHEASTERN,57267,57329,FAILURE
N,SOUTHERN,68126,67968,FAILURE
NM,SOUTHERN,22739,22288,FAILURE
N,NORTHEASTERN,40379,39177,FAILURE
NM,NORTHEASTERN,77364,77362,FAILURE
NM,WESTERN,147685,146100,FAILURE
N,WESTERN,9048,9124,FAILURE
SL,NORTHEASTERN,64397,57667,FAILURE
SL,WESTERN,359422,357025,FAILURE
NM,WESTERN,23388,22280,FAILURE
NM,WESTERN,227695,223573,FAILURE
SM,WESTERN,316944,297948,FAILURE
SB,WESTERN,44345,38410,FAILURE
SI,NORTHEASTERN,222671,229130,FAILURE
NM,WESTERN,76892,74408,FAILURE
NM,WESTERN,167802,161785,FAILURE
NM,WESTERN,54013,53141,FAILURE
NM,WESTERN,142315,138296,FAILURE
NM,WESTERN,132636,128303,FAILURE
SM,WESTERN,133250,128382,FAILURE
NM,NORTHEASTERN,3203,0,FAILURE
SI,NORTHEASTERN,321457,276016,FAILURE
SB,WESTERN,92470,89098,FAILURE
N,WESTERN,10678,9296,FAILURE
NM,NORTHEASTERN,30274,29762,FAILURE
N,MIDWESTERN,19970,19618,FAILURE
N,WESTERN,148713,148881,FAILURE
NM,WESTERN,31876,24486,FAILURE
NM,WESTERN,294277,289131,FAILURE
N,WESTERN,105734,102630,FAILURE
NM,WESTERN,12920,11481,FAILURE
N,SOUTHERN,54647,56897,FAILURE
NM,WESTERN,81689,76949,FAILURE
N,WESTERN,23727,22602,FAILURE
NM,WESTERN,35751,7228,FAILURE
SL,WESTERN,41886,41150,FAILURE
NM,WESTERN,31761,30932,FAILURE
NM,SOUTHERN,62583,59718,FAILURE
SB,WESTERN,50629,46554,FAILURE
N,SOUTHERN,15083,14364,FAILURE
N,SOUTHERN,30421,32231,FAILURE
N,SOUTHERN,52624,50348,FAILURE
NM,WESTERN,39383,36977,FAILURE
NM,WESTERN,79395,77014,FAILURE
NM,WESTERN,7845,7219,FAILURE
SM,WESTERN,127077,119404,FAILURE
N,SOUTHERN,27945,28116,FAILURE
N,MIDWESTERN,20188,19706,FAILURE
N,OTHER,23984,22716,FAILURE
NM,WESTERN,227732,224691,FAILURE
NM,WESTERN,35577,34583,FAILURE
NM,SOUTHERN,34745,34059,FAILURE
SL,WESTERN,3796241,2704214,FAILURE
N,WESTERN,45633,47775,FAILURE
SI,NORTHEASTERN,914884,720512,FAILURE
N,SOUTHERN,26341,24804,FAILURE
N,WESTERN,9677,9391,FAILURE
N,WESTERN,139087,127661,FAILURE
N,MIDWESTERN,6952,6809,FAILURE
N,WESTERN,16235,15313,FAILURE
NM,WESTERN,73024,69818,FAILURE
SL,MIDWESTERN,132850,128001,FAILURE
N,WESTERN,82446,80484,FAILURE
N,MIDWESTERN,202754,190827,FAILURE
NM,MIDWESTERN,124262,120891,FAILURE
NM,SOUTHERN,21444,20743,FAILURE
N,SOUTHERN,49805,49016,FAILURE
NM,SOUTHERN,75564,69245,FAILURE
N,WESTERN,28451,26276,FAILURE
N,NORTHEASTERN,256014,248652,FAILURE
N,SOUTHERN,13728,13636,FAILURE
NM,SOUTHERN,99525,100195,FAILURE
SB,SOUTHERN,16753,16512,FAILURE
SB,WESTERN,105114,94489,FAILURE
SB,NORTHEASTERN,1847236,1704347,FAILURE
N,NORTHEASTERN,295784,282378,FAILURE
N,WESTERN,47618,47627,FAILURE
NM,MIDWESTERN,2679,2623,FAILURE
N,MIDWESTERN,41631,39677,FAILURE
SM,SOUTHERN,34775,34481,FAILURE
NM,NORTHEASTERN,85405,76172,FAILURE
SI,NORTHEASTERN,515301,499012,FAILURE
SI,NORTHEASTERN,4126701,2909344,FAILURE
NM,SOUTHERN,12943,12779,ASSISTANCE
SB,SOUTHERN,59403,54369,FAILURE
SB,SOUTHERN,1572770,1159197,FAILURE
SL,NORTHEASTERN,1185897,857581,FAILURE
SL,NORTHEASTERN,4827462,2716356,FAILURE
NM,WESTERN,40476,38255,FAILURE
SI,NORTHEASTERN,1288435,1000727,FAILURE
SI,NORTHEASTERN,523850,506022,FAILURE
SL,MIDWESTERN,27455,26775,FAILURE
SL,NORTHEASTERN,457974,374000,FAILURE
SB,MIDWESTERN,246965,246268,FAILURE
SM,MIDWESTERN,1451535,1395338,FAILURE
SL,MIDWESTERN,213413,95324,FAILURE
NM,WESTERN,9636,9455,FAILURE
NM,SOUTHERN,51586,50767,FAILURE
NM,NORTHEASTERN,530651,498907,FAILURE
NM,MIDWESTERN,472467,493828,FAILURE
NM,NORTHEASTERN,353230,348942,FAILURE
SB,SOUTHERN,108173,97532,FAILURE
NM,NORTHEASTERN,33255,33160,FAILURE
SL,WESTERN,1314538,1234402,FAILURE
N,SOUTHERN,265669,259018,FAILURE
SM,SOUTHERN,462832,383384,FAILURE
NM,SOUTHERN,51695,47213,FAILURE
NM,SOUTHERN,128044,118027,FAILURE
SM,SOUTHERN,51347,46969,FAILURE
N,SOUTHERN,395894,367322,FAILURE
NM,SOUTHERN,104302,96353,FAILURE
N,SOUTHERN,345518,331568,FAILURE
N,SOUTHERN,2802064,2519978,FAILURE
NM,SOUTHERN,53521,48823,FAILURE
N,SOUTHERN,259208,231534,FAILURE
N,SOUTHERN,142819,131932,FAILURE
N,SOUTHERN,131984,122457,FAILURE
N,SOUTHERN,313055,289991,FAILURE
N,SOUTHERN,123394,114740,FAILURE
N,SOUTHERN,156640,145727,FAILURE
N,SOUTHERN,95398,86486,FAILURE
N,SOUTHERN,340189,318838,FAILURE
N,SOUTHERN,532248,488695,FAILURE
SM,SOUTHERN,1359158,1307005,FAILURE
SB,SOUTHERN,1717520,1539974,FAILURE
SL,SOUTHERN,276476,271387,FAILURE
NM,SOUTHERN,18026,18050,FAILURE
NM,SOUTHERN,20888,20338,ASSISTANCE
SB,SOUTHERN,444605,370085,FAILURE
SI,NORTHEASTERN,1571240,1350530,FAILURE
N,WESTERN,3754,3398,FAILURE
SI,NORTHEASTERN,3461421,3378992,FAILURE
NM,NORTHEASTERN,25200,24816,FAILURE
N,NORTHEASTERN,19702,19546,FAILURE
N,SOUTHERN,24681,24396,FAILURE
SI,NORTHEASTERN,220972,182877,FAILURE
NM,SOUTHERN,28113,27871,FAILURE
N,SOUTHERN,34439,34512,FAILURE
SB,SOUTHERN,72326,68838,FAILURE
SI,NORTHEASTERN,84808,64786,FAILURE
SI,NORTHEASTERN,491100,529486,FAILURE
SI,NORTHEASTERN,632450,567733,FAILURE
SL,SOUTHERN,91770,82123,FAILURE
SI,NORTHEASTERN,65213,64012,FAILURE
SB,SOUTHERN,38978,37571,FAILURE
SM,SOUTHERN,36460,36030,FAILURE
NM,NORTHEASTERN,61824,59427,FAILURE
SL,SOUTHERN,86987,80457,FAILURE
N,SOUTHERN,92076,91348,FAILURE
SB,NORTHEASTERN,137307,118091,FAILURE
SL,SOUTHERN,91966,86915,FAILURE
NM,MIDWESTERN,30267,28464,FAILURE
SB,SOUTHERN,224198,195186,FAILURE
SL,SOUTHERN,159982,151424,FAILURE
SB,MIDWESTERN,3370809,2396269,FAILURE
SB,WESTERN,12175590,8903571,FAILURE
SB,SOUTHERN,150884,147507,FAILURE
NM,NORTHEASTERN,34296,34543,FAILURE
NM,NORTHEASTERN,140339,142322,FAILURE
NM,NORTHEASTERN,114129,113453,FAILURE
N,SOUTHERN,24735,25067,FAILURE
N,SOUTHERN,13769,13718,FAILURE
SB,WESTERN,35042,34365,FAILURE
SB,NORTHEASTERN,238194,224473,FAILURE
SL,NORTHEASTERN,131686,129271,FAILURE
SB,WESTERN,220368,205745,FAILURE
SL,NORTHEASTERN,1277433,1078091,FAILURE
SB,SOUTHERN,142536,124432,FAILURE
SI,NORTHEASTERN,62124,48107,FAILURE
NM,WESTERN,41990,40792,FAILURE
SI,NORTHEASTERN,388806,316612,FAILURE
SI,NORTHEASTERN,3202492,2827416,FAILURE
SB,MIDWESTERN,290292,264244,FAILURE
SB,SOUTHERN,804316,639124,FAILURE
SB,SOUTHERN,228859,201442,FAILURE
SL,NORTHEASTERN,51240,49370,FAILURE
SL,NORTHEASTERN,684804,632317,FAILURE
NM,MIDWESTERN,32170,29707,FAILURE
NM,MIDWESTERN,4189,4212,FAILURE
NM,WESTERN,21276,20863,FAILURE
SI,NORTHEASTERN,223665,189866,FAILURE
NM,NORTHEASTERN,49587,47944,FAILURE
SB,NORTHEASTERN,83004,76333,FAILURE
NM,NORTHEASTERN,225228,238455,FAILURE
SB,SOUTHERN,94195,69001,FAILURE
NM,NORTHEASTERN,60696,68675,FAILURE
SM,MIDWESTERN,45880,47038,FAILURE
SM,MIDWESTERN,55555,60891,FAILURE
SM,MIDWESTERN,84418,87015,FAILURE
SM,MIDWESTERN,34814,34238,FAILURE
SM,MIDWESTERN,123295,127822,FAILURE
N,WESTERN,225189,218847,FAILURE
N,OTHER,27090,27074,FAILURE
SI,NORTHEASTERN,285923,267466,FAILURE
SL,SOUTHERN,56956,48503,FAILURE
SB,MIDWESTERN,155900,169948,FAILURE
NM,NORTHEASTERN,183184,184170,FAILURE
NM,NORTHEASTERN,80597,77227,FAILURE
NM,WESTERN,30767,29410,FAILURE
SB,SOUTHERN,31479,29585,FAILURE
SL,WESTERN,1996340,1549633,FAILURE
SL,SOUTHERN,1013550,904202,FAILURE
NM,NORTHEASTERN,132437,132001,FAILURE
NM,SOUTHERN,38568,37666,FAILURE
SB,SOUTHERN,72536,64780,FAILURE
SL,MIDWESTERN,166121,163947,FAILURE
N,NORTHEASTERN,91381,89766,FAILURE
NM,WESTERN,125939,122347,FAILURE
NM,SOUTHERN,35648,33714,FAILURE
SL,SOUTHERN,1601277,1493111,FAILURE
SM,WESTERN,34820,33109,FAILURE
SI,NORTHEASTERN,427949,432557,FAILURE
N,OTHER,13834,13589,FAILURE
NM,SOUTHERN,13481,13777,FAILURE
N,WESTERN,36452,37701,FAILURE
SI,NORTHEASTERN,397979,392720,FAILURE
SM,SOUTHERN,21836,20846,FAILURE
N,SOUTHERN,12040,12049,FAILURE
NM,SOUTHERN,4291,4139,FAILURE
NM,WESTERN,31553,30234,FAILURE
SL,SOUTHERN,35856,32646,FAILURE
SB,MIDWESTERN,40774,31768,FAILURE
NM,NORTHEASTERN,400540,383318,FAILURE
SL,NORTHEASTERN,74915,72642,FAILURE
N,SOUTHERN,11412,11177,FAILURE
NM,NORTHEASTERN,99806,99939,FAILURE
SB,SOUTHERN,113212,108736,FAILURE
SL,NORTHEASTERN,7208,7677,FAILURE
SL,MIDWESTERN,193664,188801,FAILURE
SL,SOUTHERN,43817,43203,FAILURE
SI,NORTHEASTERN,35664,32801,FAILURE
N,WESTERN,114584,102372,FAILURE
SM,WESTERN,16987,16859,FAILURE
SM,NORTHEASTERN,44930,47334,FAILURE
N,SOUTHERN,19031,18593,FAILURE
SI,NORTHEASTERN,4028368,3733163,FAILURE
SI,NORTHEASTERN,369110,354218,FAILURE
SL,SOUTHERN,327158,293368,FAILURE
N,SOUTHERN,35091,35262,FAILURE
NM,MIDWESTERN,3644,3612,FAILURE
NM,SOUTHERN,80529,80517,FAILURE
SB,SOUTHERN,107078,100444,FAILURE
SL,SOUTHERN,1284313,1489485,FAILURE
NM,NORTHEASTERN,74846,73512,FAILURE
SM,WESTERN,15639,16125,FAILURE
NM,NORTHEASTERN,21229,22733,FAILURE
NM,WESTERN,535786,547627,FAILURE
SB,WESTERN,23089,23557,FAILURE
N,OTHER,52084,48860,FAILURE
SB,NORTHEASTERN,7431636,5514987,FAILURE
N,NORTHEASTERN,18006,17823,FAILURE
NM,SOUTHERN,16518,16416,FAILURE
SM,WESTERN,10254,10155,FAILURE
SL,SOUTHERN,51816,43441,FAILURE
SB,SOUTHERN,2892072,2447078,FAILURE
SL,NORTHEASTERN,572398,427259,FAILURE
NM,SOUTHERN,60568,59063,FAILURE
NM,WESTERN,48226,46635,FAILURE
NM,SOUTHERN,94332,92729,FAILURE
SB,SOUTHERN,2057643,1431239,FAILURE
NM,NORTHEASTERN,36581,38396,FAILURE
NM,WESTERN,7732,7427,FAILURE
SI,NORTHEASTERN,578220,486776,FAILURE
N,NORTHEASTERN,153615,147364,FAILURE
SI,NORTHEASTERN,103814,84328,FAILURE
NM,NORTHEASTERN,77287,78375,FAILURE
NM,MIDWESTERN,31860,30217,ASSISTANCE
N,SOUTHERN,40462,40877,FAILURE
SL,NORTHEASTERN,72477,67897,FAILURE
SL,NORTHEASTERN,46857,46011,FAILURE
SL,MIDWESTERN,33164,26424,FAILURE
SB,MIDWESTERN,34316,33662,FAILURE
NM,NORTHEASTERN,71024,68528,FAILURE
N,SOUTHERN,9169,9489,FAILURE
SI,NORTHEASTERN,1044990,897732,FAILURE
NM,MIDWESTERN,36646,34227,FAILURE
SB,SOUTHERN,83159,82813,FAILURE
SL,WESTERN,52410,29400,FAILURE
N,NORTHEASTERN,333771,354235,FAILURE
SL,NORTHEASTERN,119221,107526,FAILURE
NM,SOUTHERN,84877,85239,FAILURE
NM,SOUTHERN,31835,31307,FAILURE
N,SOUTHERN,4264,0,FAILURE
NM,SOUTHERN,48212,46547,FAILURE
NM,NORTHEASTERN,321204,315007,FAILURE
NM,WESTERN,17275,16649,FAILURE
N,SOUTHERN,23189,23253,FAILURE
NM,NORTHEASTERN,28359,27862,FAILURE
N,WESTERN,42672,40510,FAILURE
SI,NORTHEASTERN,654715,627935,FAILURE
SB,SOUTHERN,65710,66972,FAILURE
SB,MIDWESTERN,916980,558620,FAILURE
SL,SOUTHERN,2214549,2256189,FAILURE
SL,SOUTHERN,107603,88524,FAILURE
SB,SOUTHERN,223669,222486,FAILURE
SL,SOUTHERN,1066094,960802,FAILURE
SI,NORTHEASTERN,31180,29513,FAILURE
SB,NORTHEASTERN,255081,192059,FAILURE
SI,NORTHEASTERN,1171673,947219,FAILURE
SI,NORTHEASTERN,877159,835263,FAILURE
N,NORTHEASTERN,109379,105416,FAILURE
SB,NORTHEASTERN,509074,436535,FAILURE
SI,NORTHEASTERN,937259,768425,FAILURE
NM,NORTHEASTERN,816843,631606,FAILURE
NM,NORTHEASTERN,425059,397018,FAILURE
N,NORTHEASTERN,22853,22824,FAILURE
NM,SOUTHERN,20254,20902,FAILURE
SM,WESTERN,20082,19255,ASSISTANCE
SL,WESTERN,24140,21944,FAILURE
SL,NORTHEASTERN,249533,264912,FAILURE
SB,NORTHEASTERN,174717,137835,FAILURE
SL,MIDWESTERN,91411,89021,FAILURE
SL,NORTHEASTERN,188649,178510,FAILURE
SL,MIDWESTERN,1160926,1067681,FAILURE
SL,WESTERN,280667,242557,FAILURE
SL,SOUTHERN,251153,251734,FAILURE
NM,NORTHEASTERN,62113,58231,FAILURE
N,NORTHEASTERN,29471,28451,FAILURE
SI,NORTHEASTERN,386572,402696,FAILURE
SB,NORTHEASTERN,189089,166964,FAILURE
NM,SOUTHERN,97289,88214,FAILURE
N,SOUTHERN,11026691,8908637,FAILURE
NM,MIDWESTERN,26582,26248,ASSISTANCE
SB,SOUTHERN,50532,48311,FAILURE
SB,SOUTHERN,40271,34959,FAILURE
NM,NORTHEASTERN,33694,35568,FAILURE
SL,SOUTHERN,58064,54053,FAILURE
SL,WESTERN,121671,120790,FAILURE
SL,MIDWESTERN,443424,446860,FAILURE
NM,NORTHEASTERN,46671,46973,FAILURE
SI,NORTHEASTERN,294777,257036,FAILURE
SI,NORTHEASTERN,386363,318149,FAILURE
SL,NORTHEASTERN,223248,180986,FAILURE
SB,SOUTHERN,39869,39317,FAILURE
SB,SOUTHERN,422336,408926,FAILURE
NM,NORTHEASTERN,49895,59467,FAILURE
N,SOUTHERN,64629,63039,FAILURE
N,SOUTHERN,33498,33799,FAILURE
N,SOUTHERN,15607,15492,FAILURE
SL,MIDWESTERN,73142,74359,FAILURE
SB,MIDWESTERN,209860,206081,FAILURE
SL,MIDWESTERN,9238,9585,FAILURE
NM,SOUTHERN,22479,22432,FAILURE
NM,SOUTHERN,25026,24778,FAILURE
SL,SOUTHERN,15233,15618,FAILURE
SB,WESTERN,144988,130273,FAILURE
N,NORTHEASTERN,18966,19759,FAILURE
N,SOUTHERN,29438,30190,FAILURE
SL,MIDWESTERN,54605,55516,FAILURE
SL,NORTHEASTERN,123777,123595,FAILURE
SB,WESTERN,9523603,7230789,FAILURE
NM,SOUTHERN,61282,63475,FAILURE
NM,SOUTHERN,26094,26674,FAILURE
SB,NORTHEASTERN,1083920,903692,FAILURE
NM,NORTHEASTERN,1918530,1807942,FAILURE
SB,SOUTHERN,61158,60341,FAILURE
SB,SOUTHERN,319651,280738,FAILURE
SL,WESTERN,448913,413500,FAILURE
SL,WESTERN,31809,31705,FAILURE
N,NORTHEASTERN,91091,91287,FAILURE
NM,NORTHEASTERN,69070,64075,FAILURE
NM,SOUTHERN,19538,19848,FAILURE
SL,SOUTHERN,18440,43214,FAILURE
SL,MIDWESTERN,74903,46985,FAILURE
SL,SOUTHERN,22220,21565,FAILURE
NM,NORTHEASTERN,55327,55038,FAILURE
NM,SOUTHERN,139958,142089,FAILURE
SL,SOUTHERN,67044,56885,FAILURE
SL,WESTERN,287190,250176,FAILURE
SB,MIDWESTERN,151736,137588,FAILURE
SL,NORTHEASTERN,270228,184143,FAILURE
NM,WESTERN,16638,15835,FAILURE
N,SOUTHERN,20177,20527,FAILURE
SL,SOUTHERN,224820,163447,FAILURE
SB,NORTHEASTERN,474327,350087,FAILURE
SL,SOUTHERN,142465,136677,FAILURE
SI,NORTHEASTERN,1129946,1081228,FAILURE
SL,WESTERN,682096,654275,FAILURE
SI,NORTHEASTERN,31806,30538,FAILURE
SB,MIDWESTERN,10886,10520,FAILURE
SL,NORTHEASTERN,97522,95318,FAILURE
N,SOUTHERN,15449,15278,FAILURE
NM,SOUTHERN,17273,16674,FAILURE
N,SOUTHERN,73908,75195,FAILURE
NM,MIDWESTERN,167298,170540,FAILURE
SI,NORTHEASTERN,247219,239998,FAILURE
SL,SOUTHERN,262265,259731,FAILURE
N,SOUTHERN,7204,7215,FAILURE
SB,SOUTHERN,1157911,744873,FAILURE
SB,SOUTHERN,31475,31986,FAILURE
SL,WESTERN,13508,13115,FAILURE
SB,SOUTHERN,119333,106033,FAILURE
SL,SOUTHERN,1476880,1320508,FAILURE
SL,NORTHEASTERN,147849,145160,FAILURE
SI,NORTHEASTERN,9890866,6525085,FAILURE
N,NORTHEASTERN,318836,295818,FAILURE
SL,WESTERN,388336,373666,FAILURE
SM,SOUTHERN,15885,15027,FAILURE
NM,SOUTHERN,87374,81640,FAILURE
SB,WESTERN,2070002,1286017,FAILURE
N,WESTERN,51370,51562,FAILURE
N,NORTHEASTERN,1417531,1380815,FAILURE
SB,MIDWESTERN,34190,33661,FAILURE
SB,SOUTHERN,1970413,1154520,FAILURE
NM,SOUTHERN,56068,56509,FAILURE
N,MIDWESTERN,110088,108468,FAILURE
N,SOUTHERN,10959,11132,FAILURE
NM,SOUTHERN,111610,104756,FAILURE
SL,NORTHEASTERN,60629,62304,FAILURE
SB,SOUTHERN,25648,23606,FAILURE
SL,SOUTHERN,17825,17570,FAILURE
SB,MIDWESTERN,125607,105802,FAILURE
SL,MIDWESTERN,67326,67915,FAILURE
SB,MIDWESTERN,39274,33403,FAILURE
SL,MIDWESTERN,50013,51170,FAILURE
SM,SOUTHERN,38974,39003,FAILURE
N,SOUTHERN,174187,159413,FAILURE
N,OTHER,473781,404200,FAILURE
N,SOUTHERN,29452,27110,FAILURE
NM,SOUTHERN,45228,44972,FAILURE
NM,SOUTHERN,12397,12345,FAILURE
N,SOUTHERN,18673,18545,FAILURE
SL,WESTERN,261711,193444,FAILURE
SL,NORTHEASTERN,40854,38447,FAILURE
SL,MIDWESTERN,17787,17762,FAILURE
SB,SOUTHERN,50295,47246,FAILURE
SB,MIDWESTERN,25857,24375,FAILURE
SL,MIDWESTERN,290886,143505,FAILURE
NM,NORTHEASTERN,307033,301548,FAILURE
SL,SOUTHERN,422245,378312,FAILURE
SB,SOUTHERN,6038921,4265330,FAILURE
SB,SOUTHERN,840701,658563,FAILURE
SB,WESTERN,58634,55501,FAILURE
SB,SOUTHERN,151333,132558,FAILURE
SL,MIDWESTERN,134307,116937,FAILURE
SM,WESTERN,9458,9213,FAILURE
SL,SOUTHERN,154401,147099,FAILURE
SL,SOUTHERN,781965,713933,FAILURE
SL,SOUTHERN,33779,33995,FAILURE
SB,SOUTHERN,985057,811836,FAILURE
SL,NORTHEASTERN,511522,474313,FAILURE
N,SOUTHERN,19048,18929,FAILURE
SL,NORTHEASTERN,143194,129364,FAILURE
NM,NORTHEASTERN,40601,49222,FAILURE
NM,WESTERN,80832,79757,FAILURE
NM,SOUTHERN,60928,60439,FAILURE
SB,SOUTHERN,30156,30573,FAILURE
SL,MIDWESTERN,63207,60613,FAILURE
SL,SOUTHERN,185267,160429,FAILURE
SL,MIDWESTERN,61327,51742,FAILURE
SM,SOUTHERN,48118,46936,FAILURE
NM,SOUTHERN,26023,26208,FAILURE
N,WESTERN,11414,11251,FAILURE
NM,NORTHEASTERN,116044,119406,FAILURE
NM,NORTHEASTERN,227859,219851,FAILURE
SB,WESTERN,1172063,961737,FAILURE
SB,SOUTHERN,26394,26499,FAILURE
SB,SOUTHERN,34089,28176,FAILURE
SL,SOUTHERN,110234,90436,FAILURE
SB,SOUTHERN,150907,131244,FAILURE
SB,MIDWESTERN,895845,715825,FAILURE
SL,SOUTHERN,161381,153087,FAILURE
SL,NORTHEASTERN,445379,393817,FAILURE
NM,SOUTHERN,24822,24395,FAILURE
NM,SOUTHERN,21874,21643,FAILURE
SL,SOUTHERN,38909,33828,FAILURE
SL,MIDWESTERN,45361,46771,FAILURE
SL,MIDWESTERN,2944195,2623786,FAILURE
SL,NORTHEASTERN,850573,733980,FAILURE
SB,SOUTHERN,3575040,2872239,FAILURE
NM,NORTHEASTERN,49258,48356,FAILURE
SI,NORTHEASTERN,83699,83843,FAILURE
NM,SOUTHERN,22416,22694,FAILURE
SL,SOUTHERN,224456,174847,FAILURE
SL,SOUTHERN,200485,199317,FAILURE
SB,MIDWESTERN,51933,49950,FAILURE
SL,NORTHEASTERN,210702,212882,FAILURE
SB,NORTHEASTERN,405964,388612,FAILURE
SL,SOUTHERN,32917,27898,FAILURE
SL,SOUTHERN,666471,488725,FAILURE
SM,SOUTHERN,11521,11861,FAILURE
SM,SOUTHERN,17165,16769,FAILURE
NM,WESTERN,20775,20349,FAILURE
SB,NORTHEASTERN,110647,99469,FAILURE
SL,NORTHEASTERN,107564,98599,FAILURE
N,SOUTHERN,44906,47235,FAILURE
SL,SOUTHERN,37523,36235,FAILURE
SB,SOUTHERN,1525465,1369899,FAILURE
NM,MIDWESTERN,70565,65627,FAILURE
N,WESTERN,37236,36461,FAILURE
SL,NORTHEASTERN,114564,87048,FAILURE
NM,SOUTHERN,43848,42729,FAILURE
N,SOUTHERN,7282,7709,FAILURE
SL,WESTERN,454475,444026,FAILURE
SL,WESTERN,99576,60452,FAILURE
SL,SOUTHERN,59686,53910,FAILURE
SL,SOUTHERN,18165,18137,FAILURE
SL,NORTHEASTERN,287692,257442,FAILURE
N,SOUTHERN,20351,20995,FAILURE
NM,SOUTHERN,24316,24800,FAILURE
SL,SOUTHERN,14586,13313,FAILURE
SB,SOUTHERN,1209981,993237,FAILURE
SL,MIDWESTERN,1022500,1016062,FAILURE
SI,NORTHEASTERN,1182519,1191224,FAILURE
NM,NORTHEASTERN,269867,269021,FAILURE
N,SOUTHERN,17796,18038,FAILURE
NM,SOUTHERN,255108,237750,FAILURE
N,MIDWESTERN,18776,19197,FAILURE
SL,SOUTHERN,32197,31658,FAILURE
SB,SOUTHERN,1823394,1509206,FAILURE
SL,WESTERN,5358626,5645608,FAILURE
SL,NORTHEASTERN,132562,125372,FAILURE
NM,WESTERN,33480,32106,FAILURE
N,SOUTHERN,97314,98491,FAILURE
N,WESTERN,20712,23319,FAILURE
SL,WESTERN,81792,80703,FAILURE
SL,NORTHEASTERN,222484,235827,FAILURE
SL,WESTERN,139117,122923,FAILURE
SL,NORTHEASTERN,17375,13680,FAILURE
SL,WESTERN,3714988,2981632,FAILURE
N,NORTHEASTERN,85364,86936,FAILURE
N,NORTHEASTERN,1045658,944665,FAILURE
N,NORTHEASTERN,13428614,9406853,FAILURE
N,NORTHEASTERN,7210748,6860236,FAILURE
SL,NORTHEASTERN,47159,44159,FAILURE
SL,SOUTHERN,638622,472426,FAILURE
SL,NORTHEASTERN,3089704,2343171,FAILURE
SB,SOUTHERN,2016621,1380514,FAILURE
SL,SOUTHERN,27310,29154,FAILURE
SL,SOUTHERN,38693,37738,FAILURE
SB,SOUTHERN,230780,230027,FAILURE
NM,NORTHEASTERN,485550,442317,FAILURE
SB,MIDWESTERN,432576,322004,FAILURE
SB,SOUTHERN,71705,61584,FAILURE
SL,MIDWESTERN,1206441,894318,FAILURE
SL,MIDWESTERN,348106,196099,FAILURE
SL,WESTERN,252407,247450,FAILURE
SL,NORTHEASTERN,133547,117224,FAILURE
SB,NORTHEASTERN,1402978,931868,FAILURE
SL,MIDWESTERN,1977010,2282847,FAILURE
SL,NORTHEASTERN,219328,193704,FAILURE
SL,MIDWESTERN,1054382,683656,FAILURE
NM,SOUTHERN,171578,164103,FAILURE
NM,SOUTHERN,30262,30597,FAILURE
NM,WESTERN,154318,150711,FAILURE
NM,SOUTHERN,20519,20615,FAILURE
NM,SOUTHERN,19650,19943,FAILURE
NM,SOUTHERN,77722,77526,FAILURE
NM,SOUTHERN,7477,7581,FAILURE
SI,NORTHEASTERN,173269,172263,FAILURE
SL,SOUTHERN,126078,109694,FAILURE
SL,SOUTHERN,520377,427460,FAILURE
SB,NORTHEASTERN,890776,848439,FAILURE
SL,SOUTHERN,40379,43171,FAILURE
N,SOUTHERN,20509,21351,FAILURE
NM,SOUTHERN,28752,27025,FAILURE
N,WESTERN,5371,5325,FAILURE
SL,SOUTHERN,51219,45339,FAILURE
SB,SOUTHERN,34662,32918,FAILURE
SL,SOUTHERN,2869629,2894745,FAILURE
SL,SOUTHERN,31836,28475,FAILURE
SL,SOUTHERN,64124,46665,FAILURE
SL,NORTHEASTERN,140107,115788,FAILURE
SL,SOUTHERN,61907,51776,FAILURE
NM,MIDWESTERN,13426,13413,FAILURE
NM,SOUTHERN,63605,59795,FAILURE
NM,SOUTHERN,34847,34565,FAILURE
SL,SOUTHERN,422279,367628,FAILURE
SB,WESTERN,53786,51693,FAILURE
SL,WESTERN,55433,41409,FAILURE
SL,NORTHEASTERN,261969,199017,FAILURE
NM,SOUTHERN,39838,39563,FAILURE
SL,SOUTHERN,16183,15514,FAILURE
SB,SOUTHERN,58810,50470,FAILURE
SB,SOUTHERN,4115008,2271190,FAILURE
N,NORTHEASTERN,110444,101021,FAILURE
SL,MIDWESTERN,70151,70060,FAILURE
SL,NORTHEASTERN,177838,144964,FAILURE
SL,SOUTHERN,63885,63147,FAILURE
N,SOUTHERN,34211,42529,FAILURE
N,SOUTHERN,21468,21903,FAILURE
SL,SOUTHERN,182972,182869,FAILURE
SL,WESTERN,118634,113127,FAILURE
NM,MIDWESTERN,2899,2867,FAILURE
N,SOUTHERN,73684,69932,FAILURE
SL,MIDWESTERN,95923,57964,FAILURE
SL,SOUTHERN,151694,141804,FAILURE
SB,SOUTHERN,888751,726199,FAILURE
SI,NORTHEASTERN,526176,489285,FAILURE
N,SOUTHERN,19851,20103,FAILURE
SI,NORTHEASTERN,130931,93816,FAILURE
SL,SOUTHERN,84250,81464,FAILURE
NM,SOUTHERN,32673,32826,FAILURE
NM,NORTHEASTERN,51426,50209,FAILURE
NM,SOUTHERN,117050,115765,FAILURE
N,SOUTHERN,35375,35365,FAILURE
N,SOUTHERN,13377,13321,FAILURE
NM,SOUTHERN,20689,22222,FAILURE
