CHARTER,REG,ASSET,DEP,TYPE
NM,SOUTHERN,165291,157808,FAILURE
NM,SOUTHERN,184750,172042,FAILURE
SM,WESTERN,1280964,1239630,FAILURE
NM,NORTHEASTERN,191852,188099,FAILURE
NM,SOUTHERN,198993,178773,FAILURE
NM,MIDWESTERN,195034,180835,FAILURE
SI,SOUTHERN,161430,159628,FAILURE
NM,MIDWESTERN,351492,280649,FAILURE
NM,MIDWESTERN,419723,384120,FAILURE
NM,SOUTHERN,239916,208775,FAILURE
NM,WESTERN,288765,253079,FAILURE
SM,SOUTHERN,985096,901845,FAILURE
N,SOUTHERN,296841,280095,FAILURE
NM,SOUTHERN,150751,140612,FAILURE
NM,SOUTHERN,102338,96583,FAILURE
N,SOUTHERN,164599,159673,FAILURE
NM,MIDWESTERN,141016,137215,FAILURE
SB,SOUTHERN,1700117,1253835,FAILURE
SI,NORTHEASTERN,46818,45770,FAILURE
N,MIDWESTERN,538091,524290,FAILURE
NM,MIDWESTERN,110723,104021,FAILURE
SM,WESTERN,548570,515732,FAILURE
SM,SOUTHERN,83493,72955,FAILURE
N,SOUTHERN,232648,209737,FAILURE
N,MIDWESTERN,1994430,1693592,FAILURE
NM,SOUTHERN,41252,41434,FAILURE
SM,SOUTHERN,266482,244362,FAILURE
NM,WESTERN,954106,818670,FAILURE
NM,SOUTHERN,177715,158123,FAILURE
NM,WESTERN,73066,67471,FAILURE
NM,SOUTHERN,225035,207621,FAILURE
NM,SOUTHERN,180340,177221,FAILURE
NM,WESTERN,62518,60349,FAILURE
NM,WESTERN,665806,635202,FAILURE
SM,MIDWESTERN,896864,830530,FAILURE
NM,SOUTHERN,103716,89554,FAILURE
NM,SOUTHERN,98624,92641,FAILURE
NM,SOUTHERN,339929,324403,FAILURE
SB,SOUTHERN,208204,191614,FAILURE
NM,WESTERN,173478,163303,FAILURE
NM,SOUTHERN,730981,702231,FAILURE
NM,SOUTHERN,741855,707643,FAILURE
NM,WESTERN,142729,131631,FAILURE
SB,SOUTHERN,129429,123950,FAILURE
NM,SOUTHERN,291196,294769,FAILURE
NM,SOUTHERN,66282,65439,FAILURE
NM,MIDWESTERN,451683,371494,FAILURE
N,SOUTHERN,342079,308784,FAILURE
SM,SOUTHERN,849409,724483,FAILURE
NM,SOUTHERN,103055,99022,FAILURE
N,MIDWESTERN,21454,20980,FAILURE
NM,SOUTHERN,314019,290005,FAILURE
NM,SOUTHERN,757574,611681,FAILURE
SB,SOUTHERN,2977290,2736201,FAILURE
NM,SOUTHERN,228328,205035,FAILURE
NM,WESTERN,135064,128573,FAILURE
N,MIDWESTERN,186677,182441,FAILURE
NM,MIDWESTERN,163074,161379,FAILURE
SM,MIDWESTERN,190418,183309,FAILURE
N,SOUTHERN,90183,68331,FAILURE
NM,MIDWESTERN,123774,124179,FAILURE
NM,WESTERN,120833,105309,FAILURE
SB,WESTERN,332596,272216,FAILURE
NM,SOUTHERN,214275,206490,FAILURE
NM,SOUTHERN,387681,339934,FAILURE
NM,SOUTHERN,125531,116715,FAILURE
N,WESTERN,210859,205285,FAILURE
NM,MIDWESTERN,390524,389868,FAILURE
NM,MIDWESTERN,83828,78549,FAILURE
SM,MIDWESTERN,51083,49504,FAILURE
NM,SOUTHERN,238205,222161,FAILURE
NM,SOUTHERN,153172,139672,FAILURE
NM,WESTERN,764090,718797,FAILURE
SM,WESTERN,2188154,1847851,FAILURE
NM,MIDWESTERN,240949,193694,FAILURE
NM,SOUTHERN,44546,41204,FAILURE
NM,SOUTHERN,340986,314250,FAILURE
NM,SOUTHERN,204925,199394,FAILURE
SL,WESTERN,2153690,1535194,FAILURE
NM,SOUTHERN,99461,94591,FAILURE
NM,SOUTHERN,211149,201369,FAILURE
